Doc1_ID,Doc2_ID,Doc1_Name,Doc2_Name,Similarity
0,64,T1/q-lrt.pdf,T1/lect8.pdf,0.814129462233487
0,70,T1/q-lrt.pdf,T1/Lecture22.pdf,0.8106248668592801
0,1,T1/q-lrt.pdf,T1/stat610-09.pdf,0.8080286063340054
0,74,T1/q-lrt.pdf,T1/LikelihoodRatioTests.pdf,0.778898995435232
0,165,T1/q-lrt.pdf,T1/lec10.pdf,0.7734511965085479
0,10,T1/q-lrt.pdf,T1/Unit-5.pdf,0.762436341120966
0,163,T1/q-lrt.pdf,T1/L01_02.pdf,0.7347697947119742
0,2,T1/q-lrt.pdf,T1/STAT_513_Lec_06.pdf,0.7335124164923741
0,225,T1/q-lrt.pdf,T1/ohd.pdf,0.7025456325545056
1,0,T1/stat610-09.pdf,T1/q-lrt.pdf,0.8080286063340054
1,225,T1/stat610-09.pdf,T1/ohd.pdf,0.7995009767654349
1,10,T1/stat610-09.pdf,T1/Unit-5.pdf,0.7742575238710107
1,70,T1/stat610-09.pdf,T1/Lecture22.pdf,0.7632133057890389
1,64,T1/stat610-09.pdf,T1/lect8.pdf,0.7544592739251947
1,74,T1/stat610-09.pdf,T1/LikelihoodRatioTests.pdf,0.753580642588417
1,165,T1/stat610-09.pdf,T1/lec10.pdf,0.72586956011848
1,2,T1/stat610-09.pdf,T1/STAT_513_Lec_06.pdf,0.7198374868097598
1,605,T1/stat610-09.pdf,T4/Copy of pdf_04.pdf,0.6489517289885934
2,64,T1/STAT_513_Lec_06.pdf,T1/lect8.pdf,0.8038622856404621
2,10,T1/STAT_513_Lec_06.pdf,T1/Unit-5.pdf,0.7755451564223632
2,604,T1/STAT_513_Lec_06.pdf,T4/Copy of pdf_03.pdf,0.7754503259664068
2,70,T1/STAT_513_Lec_06.pdf,T1/Lecture22.pdf,0.76742493786506
2,165,T1/STAT_513_Lec_06.pdf,T1/lec10.pdf,0.7662490961840879
2,163,T1/STAT_513_Lec_06.pdf,T1/L01_02.pdf,0.7523093587983125
2,605,T1/STAT_513_Lec_06.pdf,T4/Copy of pdf_04.pdf,0.744957219571756
2,0,T1/STAT_513_Lec_06.pdf,T1/q-lrt.pdf,0.7335124164923741
2,1,T1/STAT_513_Lec_06.pdf,T1/stat610-09.pdf,0.7198374868097598
3,64,T1/StudentLecture08.pdf,T1/lect8.pdf,0.7252770611189332
3,4,T1/StudentLecture08.pdf,T1/StudentLecture10.pdf,0.7221875567914925
3,656,T1/StudentLecture08.pdf,T4/Copy of pdf_12_67.pdf,0.6892306802221743
3,225,T1/StudentLecture08.pdf,T1/ohd.pdf,0.666944799246372
3,279,T1/StudentLecture08.pdf,T2/23510007ML6.pdf,0.648565200068691
3,0,T1/StudentLecture08.pdf,T1/q-lrt.pdf,0.6410923279251477
3,70,T1/StudentLecture08.pdf,T1/Lecture22.pdf,0.6410251210910303
3,1,T1/StudentLecture08.pdf,T1/stat610-09.pdf,0.6375704163388076
3,10,T1/StudentLecture08.pdf,T1/Unit-5.pdf,0.6308822287896456
4,63,T1/StudentLecture10.pdf,T1/lec16-slides.pdf,0.7984934579563833
4,6,T1/StudentLecture10.pdf,"T1/Theory and Use of the EM Algorithm -- Gupta M_R_, Chen Y_ -- 3048279fbe7a13d5447582c2a812a141 -- Anna’s Archive.pdf",0.794190165211029
4,3,T1/StudentLecture10.pdf,T1/StudentLecture08.pdf,0.7221875567914925
4,1014,T1/StudentLecture10.pdf,T8/mlpdf3.pdf,0.691987380865257
4,222,T1/StudentLecture10.pdf,T1/notes16_EM.pdf,0.681222414780088
4,656,T1/StudentLecture10.pdf,T4/Copy of pdf_12_67.pdf,0.658538970570567
4,72,T1/StudentLecture10.pdf,T1/lecture_4_em_paper.pdf,0.6517056735153306
4,92,T1/StudentLecture10.pdf,T1/MLENotes1a.pdf,0.6415316192554124
4,1017,T1/StudentLecture10.pdf,T8/mlpdf6.pdf,0.634930871058367
5,101,"T1/The EM Algorithm and Extensions, Second Edition -- Geoffrey J_ McLachlan, Thriyambakam Krishnan(auth_) -- Wiley Series in Probability and Statistics, -- 9780470191606 -- e9a3209826ad39b437667e2b4df231ba -- Anna’s Archive.pdf",T1/pdf5(1).pdf,0.9123383262818678
5,213,"T1/The EM Algorithm and Extensions, Second Edition -- Geoffrey J_ McLachlan, Thriyambakam Krishnan(auth_) -- Wiley Series in Probability and Statistics, -- 9780470191606 -- e9a3209826ad39b437667e2b4df231ba -- Anna’s Archive.pdf",T1/Norm10.pdf,0.873687250994495
5,353,"T1/The EM Algorithm and Extensions, Second Edition -- Geoffrey J_ McLachlan, Thriyambakam Krishnan(auth_) -- Wiley Series in Probability and Statistics, -- 9780470191606 -- e9a3209826ad39b437667e2b4df231ba -- Anna’s Archive.pdf",T2/23510002_5th.pdf,0.8501306043663782
5,835,"T1/The EM Algorithm and Extensions, Second Edition -- Geoffrey J_ McLachlan, Thriyambakam Krishnan(auth_) -- Wiley Series in Probability and Statistics, -- 9780470191606 -- e9a3209826ad39b437667e2b4df231ba -- Anna’s Archive.pdf",T6/10.pdf,0.8328522719439896
5,327,"T1/The EM Algorithm and Extensions, Second Edition -- Geoffrey J_ McLachlan, Thriyambakam Krishnan(auth_) -- Wiley Series in Probability and Statistics, -- 9780470191606 -- e9a3209826ad39b437667e2b4df231ba -- Anna’s Archive.pdf",T2/23510017_6th.pdf,0.829991643137677
